PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,requisitionName,16-06-2015 11:37,Requisition Name
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,requisitionNumber,17-06-2015 11:37,Requisition Number
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,requestorName,18-06-2015 11:37,Requestor Name
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,businessUnit,19-06-2015 11:37,Business Unit
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,currency,20-06-2015 11:37,Currency
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,item,21-06-2015 11:37,Item
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,locationName,22-06-2015 11:37,Location Name
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,locationCode,23-06-2015 11:37,Location Code
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,addressLine1,24-06-2015 11:37,Address Line 1
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,addressLine2,25-06-2015 11:37,Address Line 2
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,city,26-06-2015 11:37,City
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,country,27-06-2015 11:37,Country
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,zipCode,28-06-2015 11:37,Zip Code
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,state,29-06-2015 11:37,State
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,contactPerson,30-06-2015 11:37,Contact Person
0.GEP.Cumulus.Reports.P2P.Resources.de-DE,telephoneNumber,01-07-2015 11:37,Telephone Number
