PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.Reports.P2P.Resources.en-US,requestorName,18-06-2015 11:37,Order Requestor Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,businessUnit,19-06-2015 11:37,Order Business Unit
0.GEP.Cumulus.Reports.P2P.Resources.en-US,currency,20-06-2015 11:37,Order Currency
0.GEP.Cumulus.Reports.P2P.Resources.en-US,item,21-06-2015 11:37,Order Item
0.GEP.Cumulus.Reports.P2P.Resources.en-US,locationName,22-06-2015 11:37,Order Location Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,locationCode,23-06-2015 11:37,Order Location Code
0.GEP.Cumulus.Reports.P2P.Resources.en-US,addressLine1,24-06-2015 11:37,Order Address Line 1
0.GEP.Cumulus.Reports.P2P.Resources.en-US,addressLine2,25-06-2015 11:37,Order Address Line 2
0.GEP.Cumulus.Reports.P2P.Resources.en-US,city,26-06-2015 11:37,Order City
0.GEP.Cumulus.Reports.P2P.Resources.en-US,country,27-06-2015 11:37,Order Country
0.GEP.Cumulus.Reports.P2P.Resources.en-US,zipCode,28-06-2015 11:47,Order Zip Code
0.GEP.Cumulus.Reports.P2P.Resources.en-US,state,29-06-2015 11:47,Order State
0.GEP.Cumulus.Reports.P2P.Resources.en-US,contactPerson,30-06-2015 11:37,Order Contact Person
0.GEP.Cumulus.Reports.P2P.Resources.en-US,telephoneNumber,1/7/2015 11:37,Order Telephone Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,requisitionName,16.6.15 11:37,Order Requisition Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,requisitionNumber,17.6.15 11:37,Order Requisition Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,DocumentName,17.6.15 11:37,Order Document Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,DocumentNumber,17.6.15 11:37,Order Document Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,requestorName,18.6.15 11:37,Order Requestor Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,businessUnit,19.6.15 11:37,Order Business Unit
0.GEP.Cumulus.Reports.P2P.Resources.en-US,currency,20.6.15 11:37,Order Currency
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_BasicDetails,6/5/2016,Basic Details
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderNumber,6/5/2016,Order Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_RevisionNumber,6/5/2016,Revision Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderName,6/5/2016,Order Name
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderEmail,19/12/2016,Contact Mail
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OrderContact,6/5/2016,Order Contact
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_PurchaseType,6/5/2016,Purchase Type
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Signatory,6/5/2016,Signatory
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Program,6/5/2016,Program
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CreationDate,6/5/2016,Creation Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_OriginalIssueDate,6/5/2016,Original Issue Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_SupplierAcknowledgedDate,6/5/2016,Supplier Acknowledged Date
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_Department,6/5/2016,Department
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeOrderDetails,6/5/2016,Change Order Details
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeOrderNumber,6/5/2016,Change Order Number
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_ChangeOrderDescription,6/5/2016,Change Order Description
0.GEP.Cumulus.Reports.P2P.Resources.en-US,P2P_PO_CreatedBy,6/5/2016,Created By
